true_angle,convex_hull_area,convex_hull_perimeter,mean_distance,std_distance,max_distance,point_density,aspect_ratio,circularity
0.4,1328.51,132.159,11.937,7.05,24.209,0.047,0.958,0.956
0.4,1234.752,128.585,11.753,6.263,22.921,0.051,0.876,0.938
0.4,1077.732,125.282,11.467,6.137,23.295,0.05,0.991,0.863
0.4,1067.303,121.388,8.457,6.899,21.074,0.053,1.001,0.91
0.4,1188.182,125.833,12.51,6.191,22.485,0.049,0.997,0.943
0.4,1289.384,130.782,13.149,6.563,23.029,0.049,0.962,0.947
0.4,1121.016,125.074,12.588,6.202,23.032,0.053,0.991,0.901
0.4,1148.674,128.059,10.427,7.14,23.786,0.034,0.953,0.88
0.4,1028.538,118.637,10.922,6.288,23.031,0.053,1.06,0.918
0.4,1208.734,129.052,10.278,7.125,23.603,0.047,0.958,0.912
0.4,1121.328,124.577,10.869,6.174,22.144,0.072,0.949,0.908
0.4,1056.099,119.124,11.27,6.307,21.328,0.041,1.004,0.935
0.4,1097.248,122.041,11.717,5.595,23.337,0.055,0.915,0.926
0.4,991.186,117.572,11.158,6.293,22.918,0.056,0.914,0.901
0.4,1100.031,125.443,11.391,6.42,24.476,0.05,1.05,0.878
0.4,1107.569,124.894,10.957,5.608,22.477,0.055,1.142,0.892
0.4,1131.962,124.944,11.071,6.893,22.854,0.039,1.158,0.911
0.4,1296.76,133.088,12.826,6.462,24.346,0.048,0.967,0.92
0.4,979.01,121.607,11.44,5.573,25.489,0.041,1.049,0.832
0.4,1076.047,123.159,11.466,6.387,22.868,0.053,0.83,0.891
0.4,1054.182,121.956,10.987,6.075,22.56,0.053,0.838,0.891
0.4,1207.643,128.316,12.71,6.561,22.766,0.049,0.995,0.922
0.4,1132.715,123.666,10.864,6.719,22.205,0.057,0.964,0.931
0.4,1126.941,125.415,10.125,6.62,22.738,0.049,0.914,0.9
0.4,1061.342,121.982,10.415,6.133,24.734,0.053,0.838,0.896
0.4,1129.911,123.19,11.314,5.917,21.801,0.058,0.994,0.936
0.4,1074.124,122.864,10.928,5.79,23.163,0.059,0.862,0.894
0.4,1148.875,123.492,11.967,6.785,22.523,0.046,0.875,0.947
0.4,1027.166,119.66,10.996,5.842,21.876,0.061,1.061,0.901
0.4,1142.963,124.964,12.628,5.714,22.487,0.052,1.091,0.92
0.4,1224.701,128.103,12.534,6.396,22.461,0.045,0.954,0.938
0.4,1169.905,125.237,12.681,6.241,22.456,0.056,1.057,0.937
0.4,1190.1,127.998,12.018,6.324,23.096,0.048,1.098,0.913
0.4,1168.089,124.952,10.688,7.291,22.104,0.045,0.95,0.94
0.4,1224.322,127.806,12.246,6.614,22.626,0.042,0.951,0.942
0.4,1201.321,127.498,12.172,6.018,22.831,0.054,1.045,0.929
0.4,1161.584,124.369,10.601,6.775,21.674,0.055,1.044,0.944
0.4,1082.233,124.172,12.068,6.696,22.96,0.054,0.864,0.882
0.4,1120.898,125.689,11.573,6.209,23.184,0.044,0.869,0.892
0.4,1071.51,120.419,12.204,6.325,22.53,0.045,1.045,0.929
0.4,1217.763,128.702,11.784,5.953,23.066,0.064,1.105,0.924
0.4,869.851,111.76,9.059,5.837,20.692,0.066,1.116,0.875
0.4,1205.658,128.231,12.021,5.967,25.092,0.056,1.043,0.921
0.4,1199.639,128.457,11.891,6.596,22.758,0.05,1.089,0.914
0.4,1240.554,129.678,12.172,6.868,23.26,0.048,0.969,0.927
0.4,1146.974,125.337,11.897,6.084,22.162,0.053,1.101,0.917
