true_angle,semi_major_axis,semi_minor_axis,eccentricity,convex_hull_area,convex_hull_perimeter
2.7,1.513,1.363,0.435,5.939,8.879
2.7,1.489,1.346,0.428,5.925,8.901
2.7,1.44,1.398,0.241,5.855,8.81
2.7,1.499,1.265,0.536,5.384,8.551
2.7,1.504,1.421,0.328,5.775,8.878
2.7,1.52,1.38,0.42,6.097,8.954
2.8,1.445,1.383,0.288,5.667,8.719
2.8,1.707,1.384,0.586,6.497,9.46
2.8,1.421,1.374,0.254,5.57,8.609
2.8,1.448,1.357,0.349,5.571,8.645
2.8,1.43,1.426,0.078,5.907,8.845
2.8,1.505,1.43,0.312,6.163,9.057
2.8,1.473,1.324,0.439,5.519,8.571
2.8,1.544,1.291,0.548,5.755,8.764
2.8,1.469,1.384,0.335,5.711,8.739
2.8,1.463,1.272,0.494,5.428,8.542
2.9,2.698,1.378,0.86,8.222,12.167
2.9,1.49,1.338,0.44,5.902,8.813
2.9,1.477,1.346,0.412,5.857,8.829
2.9,1.477,1.403,0.313,6.013,8.912
2.9,1.453,1.315,0.425,5.544,8.613
2.9,2.658,1.715,0.764,11.574,13.15
2.9,1.513,1.361,0.437,5.708,8.794
2.9,1.524,1.297,0.525,5.938,8.81
2.9,1.529,1.336,0.486,5.734,8.803
2.9,1.485,1.371,0.385,5.835,8.829
3.0,1.465,1.298,0.464,5.453,8.5
3.0,1.442,1.304,0.427,5.337,8.513
3.0,1.487,1.373,0.385,5.999,8.861
3.0,1.458,1.387,0.309,5.884,8.841
3.0,1.476,1.34,0.419,5.735,8.746
3.0,1.992,1.62,0.582,8.038,10.847
3.0,1.556,1.352,0.494,6.237,9.039
3.0,1.47,1.283,0.488,5.538,8.553
3.0,1.493,1.386,0.372,5.891,8.873
3.0,1.462,1.386,0.319,5.914,8.832
3.1,1.512,1.245,0.568,5.337,8.48
3.1,1.505,1.235,0.572,5.243,8.45
3.1,1.507,1.367,0.421,5.701,8.774
3.1,1.505,1.42,0.332,6.286,9.054
3.1,1.504,1.438,0.292,6.299,9.079
3.1,1.525,1.385,0.418,6.08,8.96
3.1,1.45,1.413,0.224,5.867,8.854
3.1,1.494,1.4,0.35,5.715,8.849
3.1,1.519,1.427,0.344,6.165,9.088
3.1,1.508,1.293,0.515,5.411,8.635
3.2,1.49,1.441,0.255,6.183,9.061
3.2,1.443,1.324,0.397,5.323,8.528
3.2,1.543,1.155,0.663,5.061,8.329
3.2,1.517,1.246,0.57,5.553,8.557
3.2,1.442,1.292,0.444,5.433,8.518
3.2,1.48,1.346,0.416,5.617,8.692
3.2,1.527,1.372,0.44,5.877,8.885
3.2,1.475,1.437,0.224,6.2,9.048
3.2,1.503,1.47,0.208,6.247,9.106
3.2,1.505,1.427,0.317,6.299,9.085
3.3,1.425,1.375,0.263,5.613,8.625
3.3,1.534,1.38,0.437,5.931,8.906
3.3,1.457,1.311,0.437,5.532,8.569
3.3,1.397,1.384,0.14,5.393,8.505
3.3,1.504,1.381,0.395,6.028,8.919
3.3,1.494,1.366,0.405,5.936,8.843
3.3,1.532,1.324,0.503,5.674,8.712
3.3,1.508,1.322,0.481,5.962,8.816
3.3,1.471,1.362,0.378,5.684,8.716
3.3,1.477,1.4,0.318,5.868,8.899
3.4,1.479,1.376,0.366,5.857,8.838
3.4,1.478,1.36,0.392,5.655,8.739
3.4,1.459,1.416,0.24,6.034,8.92
