true_angle,semi_major_axis,semi_minor_axis,eccentricity,convex_hull_area,convex_hull_perimeter,eccentricity_ratio,aspect_ratio,theta
0.5,1.303,1.167,0.445,4.246,7.595,1.117,1.024,-0.777
0.5,1.363,1.193,0.484,4.272,7.725,0.875,1.007,-3.532
0.5,1.291,1.189,0.389,4.059,7.505,0.921,1.046,0.51
0.5,1.317,1.265,0.279,4.867,7.989,1.041,0.999,4.092
0.5,1.223,1.121,0.4,3.752,7.12,1.091,1.02,2.109
0.5,1.317,1.233,0.352,4.559,7.821,1.068,0.945,0.729
0.5,1.401,1.126,0.595,4.425,7.805,1.244,0.77,-0.017
0.5,1.326,1.217,0.397,4.681,7.862,0.918,1.052,0.293
0.5,1.339,1.219,0.415,4.433,7.807,0.91,1.028,0.348
0.5,1.306,1.257,0.272,4.349,7.728,0.962,0.958,0.079
0.5,1.302,1.212,0.366,4.626,7.803,0.931,1.077,-0.614
0.5,1.325,1.128,0.524,4.297,7.579,0.851,1.023,3.776
0.5,1.337,1.171,0.483,4.361,7.69,1.142,1.021,2.513
0.5,1.313,1.136,0.501,3.947,7.43,0.865,1.128,-0.041
0.5,1.331,1.243,0.359,4.136,7.627,0.934,0.915,0.147
0.5,1.359,1.192,0.481,4.344,7.706,0.877,0.979,2.575
0.5,1.321,1.123,0.527,4.199,7.546,0.85,1.145,-0.365
0.5,1.253,1.206,0.269,4.131,7.54,1.038,0.977,0.638
0.5,1.267,1.226,0.253,4.271,7.594,0.967,1.023,0.152
0.5,1.233,1.172,0.312,4.109,7.443,0.95,1.087,0.424
0.5,1.244,1.216,0.209,4.133,7.571,0.978,0.981,0.019
0.5,1.294,1.183,0.405,4.337,7.656,0.915,1.149,0.195
0.5,1.295,1.271,0.191,4.682,7.898,0.982,1.014,-0.277
0.5,1.251,1.157,0.381,4.125,7.546,1.081,0.934,0.07
0.5,1.304,1.226,0.341,4.265,7.677,1.064,0.995,-3.511
0.5,1.266,1.231,0.234,4.557,7.76,0.972,1.013,0.129
0.6,1.336,1.248,0.355,4.543,7.857,1.07,0.973,0.182
0.6,1.308,1.208,0.384,4.497,7.745,0.923,1.066,-0.369
0.6,1.35,1.133,0.544,4.454,7.735,0.839,0.964,-0.777
0.6,1.334,1.186,0.458,4.442,7.759,1.125,0.931,0.039
0.6,1.25,1.175,0.342,3.786,7.356,1.064,0.99,6.984
0.6,1.301,1.246,0.288,4.6,7.823,0.958,1.047,-0.008
0.6,1.295,1.122,0.499,4.077,7.449,0.867,1.073,-0.358
0.6,1.352,1.257,0.368,4.721,7.979,0.93,1.02,0.514
0.6,1.345,1.231,0.403,4.62,7.887,0.915,0.972,5.507
0.6,1.269,1.122,0.467,3.919,7.38,0.884,1.117,-0.217
0.6,1.337,1.116,0.55,4.116,7.465,0.835,0.953,-2.184
0.6,1.395,1.117,0.599,4.214,7.581,1.249,0.844,0.224
0.6,1.201,1.114,0.374,3.848,7.12,1.078,1.025,-2.408
0.6,1.31,1.143,0.488,4.187,7.52,0.873,1.156,0.181
