true_angle,mean_x,mean_y,std_x,std_y,skew_x,skew_y,kurt_x,kurt_y,mean_distance,max_distance,hull_area,hull_perimeter
1.3,3.409,0.03,0.577,0.603,-0.233,-0.016,-0.502,-0.8,1.049,2.568,4.303,7.054
1.3,3.36,0.019,0.498,0.558,-0.262,0.109,0.012,-0.127,0.922,2.596,4.031,7.147
1.4,3.348,-0.024,0.565,0.556,0.013,0.293,-0.286,-0.449,0.983,2.551,4.292,6.93
1.4,3.292,-0.041,0.597,0.59,0.142,0.07,-0.843,-0.537,1.053,2.658,4.341,7.206
1.4,3.389,0.03,0.486,0.49,-0.009,0.246,0.572,0.283,0.84,2.591,4.567,6.937
1.4,3.417,0.006,0.561,0.552,-0.177,-0.172,0.079,-0.194,0.969,2.584,4.468,7.11
1.4,3.362,-0.016,0.575,0.597,0.066,0.091,-0.621,-0.24,1.037,2.667,4.555,6.845
1.4,3.324,-0.063,0.514,0.478,0.006,0.072,-0.068,-0.132,0.869,2.566,3.952,6.384
1.4,3.386,-0.057,0.455,0.536,-0.025,-0.082,0.336,-0.19,0.863,2.55,3.946,6.373
1.4,3.274,0.114,0.589,0.55,-0.043,-0.022,-0.651,-0.368,0.999,2.57,4.672,7.176
1.4,3.372,0.089,0.587,0.582,0.024,-0.139,-0.741,-0.369,1.027,2.522,4.339,6.295
1.4,3.369,0.015,0.547,0.51,0.077,-0.339,-0.006,0.293,0.916,2.505,4.351,6.588
1.5,3.377,-0.034,0.506,0.509,0.242,-0.35,0.08,-0.204,0.882,2.551,4.134,6.939
1.5,3.408,0.021,0.487,0.56,-0.136,0.005,-0.261,-0.352,0.922,2.578,4.022,6.793
1.5,3.327,0.025,0.576,0.579,0.279,-0.34,-0.523,-0.2,1.02,2.644,4.435,6.96
1.5,3.453,0.009,0.627,0.551,0.004,-0.307,-0.66,-0.69,1.044,2.645,4.287,7.129
1.5,3.309,-0.168,0.592,0.508,-0.222,0.046,-0.296,0.025,0.961,2.696,4.504,7.613
1.5,3.371,0.069,0.483,0.555,-0.17,-0.29,0.059,-0.113,0.911,2.507,3.822,6.177
1.5,3.541,-0.001,0.545,0.509,0.022,0.043,0.036,-0.667,0.926,2.668,3.987,6.706
1.5,3.409,0.005,0.539,0.568,-0.001,0.135,-0.497,-0.557,0.978,2.532,4.329,7.28
1.5,3.289,-0.032,0.511,0.558,-0.311,0.188,-0.508,-0.359,0.945,2.579,3.97,6.638
1.5,3.337,0.049,0.614,0.548,0.145,0.005,-0.624,-0.046,1.018,2.706,4.744,7.011
1.6,3.408,-0.013,0.63,0.562,-0.175,0.132,-0.557,-0.047,1.049,2.566,4.409,6.987
1.6,3.399,-0.019,0.543,0.509,0.208,-0.065,-0.754,-0.007,0.924,2.627,3.915,6.928
1.6,3.479,-0.051,0.574,0.522,-0.072,-0.06,-0.318,-0.015,0.962,2.684,4.476,6.602
1.6,3.408,-0.25,0.591,0.582,-0.147,0.065,-0.364,-0.728,1.041,2.576,4.545,7.465
1.6,3.446,-0.083,0.532,0.597,0.252,0.248,-0.417,-0.231,0.987,2.659,4.715,7.211
1.6,3.379,-0.078,0.613,0.486,-0.044,0.039,-0.482,-0.013,0.963,2.695,3.972,6.738
1.6,3.495,0.01,0.595,0.57,-0.237,0.001,-0.467,-0.204,1.022,2.62,4.449,7.659
1.6,3.464,0.04,0.562,0.501,0.103,-0.022,-0.097,0.315,0.924,2.476,4.086,6.205
1.6,3.313,0.04,0.59,0.551,-0.026,-0.008,-0.511,-0.644,1.006,2.639,4.284,7.336
1.6,3.426,0.001,0.534,0.493,-0.146,0.144,0.406,0.352,0.89,2.651,4.426,7.029
1.7,3.349,-0.027,0.638,0.618,0.018,0.188,-0.89,-0.425,1.113,2.662,4.711,7.602
1.7,3.432,0.028,0.511,0.508,-0.158,0.094,0.247,0.182,0.885,2.591,3.962,6.573
1.7,3.478,-0.041,0.634,0.589,-0.111,0.123,-0.54,-0.38,1.079,2.666,4.991,7.645
1.7,3.402,0.018,0.509,0.593,0.07,-0.128,-0.531,-0.619,0.972,2.631,4.322,6.879
1.7,3.365,0.077,0.584,0.606,0.149,-0.007,-0.272,-0.233,1.048,2.648,4.674,7.057
1.7,3.433,0.016,0.567,0.509,-0.077,0.152,0.101,0.324,0.934,2.673,4.7,7.332
1.7,3.33,-0.049,0.601,0.563,-0.049,-0.179,-0.608,-0.445,1.032,2.695,4.261,7.013
1.7,3.264,0.046,0.476,0.577,-0.399,0.17,-0.359,-0.45,0.927,2.524,3.899,6.276
1.7,3.337,-0.038,0.576,0.47,0.188,0.094,-0.377,-0.08,0.901,2.695,4.156,7.078
1.7,3.482,0.054,0.602,0.557,-0.031,-0.078,-0.184,-0.305,1.014,2.682,4.861,7.617
1.8,3.479,0.126,0.437,0.569,-0.005,0.034,0.372,-0.571,0.882,2.51,3.766,6.208
1.8,3.304,0.044,0.56,0.566,0.222,0.041,-0.051,-0.248,0.984,2.635,4.652,7.039
1.8,3.454,-0.012,0.618,0.592,-0.087,0.001,-0.538,-0.235,1.07,2.632,4.648,7.467
